Event,Date,Heat,Type,Meters,raceid,eventid,Finishers
Desert Marathon 2017,17/11/2017,"10 ק""מ",10K,10000,26525,7750,457
"מרוץ האוניברסיטה ה-8 ע""ש נועם גולדמן",17/11/2017,"5 ק""מ ריצה תחרותית",,5000,26519,7748,664
Desert Marathon 2017,17/11/2017,"5 ק""מ",5K,5000,26526,7750,144
"מרוץ להבים ה 30 ע""ש סגן שי ארבלי",17/11/2017,"10 ק""מ",10K,10000,26520,7749,91
ULTRAMAN RIDLEY 2017,14/11/2017,Ultra Run 100k,,100000,26530,7752,7
מרוץ אייל 2017,11/11/2017,"15 ק""מ",15K,15000,26510,7744,2871
מרוץ אייל 2017,11/11/2017,"5 ק""מ",5K,5000,26511,7744,674
מרוץ אייל 2017,11/11/2017,"2 ק""מ",2K,2000,26512,7744,461
ביכורי ים,10/11/2017,3 קילומטר,,3000,26509,7743,158
המרוץ היהודי ערבי,10/11/2017,5k - Normal,5K,5000,26489,7740,354
המרוץ היהודי ערבי,10/11/2017,5k - Olympic,5K,5000,26490,7740,149
מרוץ אינטל ה-3,10/11/2017,"10 ק""מ ריצה תחרותית",10K,10000,26491,7741,58
מרוץ אינטל ה-3,10/11/2017,"5 ק""מ ריצה תחרותית",5K,5000,26492,7741,67
ביכורי ים,10/11/2017,10 קילומטר,,10000,26507,7743,44
מרוץ השלום לזכרו של רבין 2017,08/11/2017,"3.25 ק""מ ריצה תחרותית",,3250,26486,7737,169
מרוץ הדיפלומטים ה-2,05/11/2017,"10 ק""מ ריצה תחרותית",10K,10000,26488,7739,74
מרוץ טבעון,03/11/2017,5k,5K,5000,26449,7730,12
מרוץ מודיעין ה-13,03/11/2017,"21.1 ק""מ ריצה תחרותית",H.Marathon,21097,26444,7729,300
מרוץ חיפה 2017,03/11/2017,חצי מרתון,H.Marathon,21097,26439,7727,591
מרוץ מודיעין ה-13,03/11/2017,"10 ק""מ ריצה תחרותית",10K,10000,26445,7729,469
מרוץ חיפה 2017,03/11/2017,"10 ק""מ",10K,10000,26440,7727,993
מרוץ מודיעין ה-13,03/11/2017,"5 ק""מ ריצה תחרותית",5K,5000,26446,7729,886
מרוץ חיפה 2017,03/11/2017,"5 ק""מ",5K,5000,26441,7727,692
מרוץ טבעון,03/11/2017,1k,,1000,26447,7730,206
"מרוץ הספארי רמת גן ע""ש דוד מלמדוביץ'",03/11/2017,"ריצה 10 ק""מ",,10000,26442,7728,343
"מרוץ הספארי רמת גן ע""ש דוד מלמדוביץ'",03/11/2017,"ריצה 5 ק""מ",,5000,26443,7728,346
מרוץ הלילה של תל-אביב 2017,31/10/2017,"10 ק""מ",10K,10000,26437,7725,17605
מרוץ גיא,28/10/2017,3 קילומטר,,3000,26432,7722,136
מרוץ משגב 2017,28/10/2017,5k,5K,5000,26426,7721,79
מרוץ גיא,28/10/2017,2 קילומטר,2K,2000,26433,7722,215
מרוץ משגב 2017,28/10/2017,10k,10K,10000,26427,7721,78
מרוץ משגב 2017,28/10/2017,2k,2K,2000,26428,7721,68
מרוץ משגב 2017,28/10/2017,15k,15K,15000,26429,7721,35
מרוץ גיא,28/10/2017,10 קילומטר,10K,10000,26430,7722,147
מרוץ גיא,28/10/2017,5 קילומטר,5K,5000,26431,7722,186
מרוץ כוכב יאיר צור יגאל 2017,27/10/2017,"10 ק""מ",,10000,26403,7716,88
מרוץ כוכב יאיר צור יגאל 2017,27/10/2017,"5 ק""מ",,5000,26404,7716,181
מרוץ כוכב יאיר צור יגאל 2017,27/10/2017,"2.5 ק""מ",,2500,26405,7716,387
חצי מרתון גליל מערבי,27/10/2017,חצי מרתון,H.Marathon,21097,26399,7715,127
חצי מרתון גליל מערבי,27/10/2017,"10 ק""מ",10K,10000,26400,7715,162
חצי מרתון גליל מערבי,27/10/2017,"5 ק""מ",,5000,26401,7715,148
מרוץ בית יצחק 2017,20/10/2017,5k,5K,5000,26391,7710,155
port2port 2017,20/10/2017,1.8km,,1800,26374,7705,304
מרוץ בית יצחק 2017,20/10/2017,2k,2K,2000,26392,7710,145
מרוץ חבר,20/10/2017,"15ק""מ",,15000,26371,7704,689
מרוץ חבר,20/10/2017,"10ק""מ",,10000,26372,7704,1001
מרוץ חבר,20/10/2017,"5 ק""מ",,5000,26373,7704,773
מרוץ בית יצחק 2017,20/10/2017,10k,10K,10000,26390,7710,107
מרוץ דקל הטום - אילת 2017,20/10/2017,10 קמ ריצה,,10000,26376,7706,331
ספורטיאדה יום I,18/10/2017,"ריצה 5 ק""מ",5K,5000,26367,7703,211
מרוץ רצים בדרכם 2017,17/10/2017,"8 ק""מ ריצה תחרותית",,8000,26365,7702,129
מרוץ רצים בדרכם 2017,17/10/2017,"4 ק""מ ריצה תחרותית",,4000,26366,7702,123
"מרוץ גליל ים ה-34 ע""ש זיו גרוך",14/10/2017,"10 ק""מ ריצה תחרותית",10K,10000,26330,7692,121
"מרוץ גליל ים ה-34 ע""ש זיו גרוך",14/10/2017,"5 ק""מ ריצה תחרותית",5K,5000,26331,7692,169
"מרוץ גליל ים ה-34 ע""ש זיו גרוך",14/10/2017,"2 ק""מ ריצה תחרותית",2K,2000,26332,7692,82
מרוץ הר איתן ה-4,13/10/2017,"8 ק""מ",,8000,26326,7691,111
מרוץ הר איתן ה-4,13/10/2017,"16 ק""מ",,16000,26327,7691,111
מרוץ הלילה של נהריה 2017,10/10/2017,"5 ק""מ",5K,5000,26323,7689,363
מרוץ הלילה של נהריה 2017,10/10/2017,"3 ק""מ",,3000,26324,7689,186
מרוץ הלילה של נהריה 2017,10/10/2017,"10 ק""מ",10K,10000,26322,7689,582
מרוץ נחל שורק ה-8,06/10/2017,"2 ק""מ ריצה תחרותית",2K,2000,26296,7678,137
"מרתון התנ""ך 2017",06/10/2017,מרתון,Marathon,42195,26290,7677,124
"מרתון התנ""ך 2017",06/10/2017,חצי מרתון,H.Marathon,21097,26291,7677,215
מרוץ הסמטה 2017,06/10/2017,5k,5K,5000,26285,7675,274
"מרתון התנ""ך 2017",06/10/2017,"10 ק""מ",10K,10000,26292,7677,193
מרוץ הסמטה 2017,06/10/2017,10k,10K,10000,26286,7675,226
"מרתון התנ""ך 2017",06/10/2017,"5 ק""מ",5K,5000,26293,7677,290
מרוץ נחל שורק ה-8,06/10/2017,"10 ק""מ ריצה תחרותית",10K,10000,26294,7678,216
מרוץ נחל שורק ה-8,06/10/2017,"5 ק""מ ריצה תחרותית",5K,5000,26295,7678,223
"מרוץ המעפיל ה-4, 2017",05/10/2017,"10 ק""מ",,10000,26287,7676,17
"מרוץ המעפיל ה-4, 2017",05/10/2017,"5 ק""מ",,5000,26288,7676,29
"מרוץ המעפיל ה-4, 2017",05/10/2017,"2 ק""מ",,2000,26289,7676,94
שביל הבנים הדרוזים 2017,15/09/2017,"15 ק""מ",,15000,26234,7649,246
שביל הבנים הדרוזים 2017,15/09/2017,"10 ק""מ",,10000,26235,7649,783
שביל הבנים הדרוזים 2017,15/09/2017,"5 ק""מ",,5000,26236,7649,1143
מרוץ פתיחת ליגת רצים בעבודה 2017,15/09/2017,"5 ק""מ ריצה תחרותית",5K,5000,26237,7650,369
מרוץ כפר ורדים 2017,15/09/2017,"2 ק""מ ריצה תחרותית",2K,2000,26240,7651,44
מרוץ תנך תשח 2017,14/09/2017,30k,,30000,26228,7648,140
מרוץ תנך תשח 2017,14/09/2017,50k,,50000,26230,7648,56
מרוץ תנך תשח 2017,14/09/2017,100k,,100000,26227,7648,45
מרוץ נשים ירושלים,11/09/2017,10km,10K,10000,26225,7647,318
מרוץ נשים ירושלים,11/09/2017,5km,5K,5000,26226,7647,431
ערד מצדה לזריחה,08/09/2017,11k,,11000,26202,7638,361
ערד מצדה לזריחה,08/09/2017,21.1k,H.Marathon,21097,26203,7638,586
חצי מרתון פארק הירקון ה-11,08/09/2017,21.1 ריצה תחרותית,H.Marathon,21097,26199,7637,353
חצי מרתון פארק הירקון ה-11,08/09/2017,"10 ק""מ ריצה תחרותית",10K,10000,26200,7637,174
חצי מרתון פארק הירקון ה-11,08/09/2017,"5 ק""מ ריצה תחרותית",5K,5000,26201,7637,70
מרוץ הילדים אלתרמנס ה-4,07/09/2017,"2 ק""מ ריצה תחרותית",2K,2000,26197,7636,71
אולטרה טרייל חיפה 2017,07/09/2017,"10 ק""מ NIGHT RUN",,10000,26204,7639,334
מרוץ הילדים אלתרמנס ה-4,07/09/2017,"1 ק""מ ריצה תחרותית",,1000,26198,7636,66
מרוץ גלעד ה-13 ברעננה,02/09/2017,"5 ק""מ ריצה תחרותית",5K,5000,26191,7632,370
מרוץ הלילה של כפר סבא,13/07/2017,"7 ק""מ",,7000,25897,7574,937
מרוץ הלילה של כפר סבא,13/07/2017,"3 ק""מ",,3000,25898,7574,817
מרוץ נשים בשבילי היער,07/07/2017,"10 ק""מ ריצה תחרותית",,10000,25677,7566,64
מרוץ נשים בשבילי היער,07/07/2017,"5 ק""מ ריצה תחרותית",,5000,25678,7566,131
Jaybird desert Night Run מצפה רמון,06/07/2017,10 קילומטר,10K,10000,25675,7565,436
Jaybird desert Night Run מצפה רמון,06/07/2017,5 קילומטר,5K,5000,25676,7565,411
Jaybird desert Night Run מצפה רמון,06/07/2017,חצי מרתון,H.Marathon,21097,25674,7565,244
מרוץ מג'אר,30/06/2017,"5 ק""מ",5K,5000,23593,7237,44
מרוץ מג'אר,30/06/2017,"10 ק""מ",10K,10000,23592,7237,78
Sail TLV,17/06/2017,"5 ק""מ",,5000,23459,7220,68
מרוץ אבנר ארד ה - 3,17/06/2017,"8.6 ק""מ",,8600,23457,7219,175
Sail TLV,17/06/2017,"3 ק""מ",,3000,23460,7220,184
Sail TLV,17/06/2017,"1.5 ק""מ",5K,5000,23461,7220,135
"מרוץ שחר ה -III , באלוני הבשן",16/06/2017,"15 ק""מ",15K,15000,23435,7215,52
"מרוץ שחר ה -III , באלוני הבשן",16/06/2017,"10 ק""מ",10K,10000,23436,7215,54
"מרוץ שחר ה -III , באלוני הבשן",16/06/2017,"5 ק""מ",5K,5000,23437,7215,61
מרוץ אדל ה-1,15/06/2017,"10 ק""מ ריצה תחרותית",10K,10000,23451,7217,135
מרוץ אדל ה-1,15/06/2017,"5 ק""מ ריצה תחרותית",5K,5000,23452,7217,207
"טריאתהוד השרון ה-9, ע""ש שלמה אילני ז""ל",10/06/2017,בנים 10,10K,10000,23402,7211,42
"טריאתהוד השרון ה-9, ע""ש שלמה אילני ז""ל",10/06/2017,שלשות 10-11,10K,10000,23409,7211,12
"טריאתהוד השרון ה-9, ע""ש שלמה אילני ז""ל",10/06/2017,בנות 10,10K,10000,23403,7211,25
מרוץ סיום עונת 2016-2017 ליגת רצים בעבודה,09/06/2017,"5 ק""מ ריצה תחרותית",5K,5000,23399,7210,302
מרוץ נחל - רצים להצלחה עם אגודת ניצן,08/06/2017,5 קילומטר,5K,5000,23376,7207,416
מרוץ נחל - רצים להצלחה עם אגודת ניצן,08/06/2017,10 קילומטר,10K,10000,23375,7207,765
מרוץ נחל - רצים להצלחה עם אגודת ניצן,08/06/2017,חצי מרתון,H.Marathon,21097,23374,7207,206
מרוץ וצעדת MS ישראל 2017,02/06/2017,"10 ק""מ ריצה תחרותית",10K,10000,23216,7195,279
מרוץ טלמונים ה-10,01/06/2017,"10 ק""מ ריצה תחרותית",10K,10000,23190,7191,106
מרוץ טלמונים ה-10,01/06/2017,"5 ק""מ ריצה תחרותית",5K,5000,23191,7191,176
מרוץ טלמונים ה-10,01/06/2017,"2 ק""מ ריצה תחרותית",2K,2000,23192,7191,100
מרוץ הבינתחומי ה-4,29/05/2017,"2 ק""מ ריצה תחרותית",2K,2000,23171,7184,17
מרוץ הבינתחומי ה-4,29/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,23170,7184,196
מרוץ יגור 2017,27/05/2017,10k,10K,10000,23163,7180,63
מרוץ הכפר ה-4,26/05/2017,"10 ק""מ ריצה תחרותית",10K,10000,23147,7506,113
מרוץ הכפר ה-4,26/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,23148,7506,133
Matrix Night Run 2,25/05/2017,"10 ק""מ ריצה תחרותית",10K,10000,23142,7176,376
Matrix Night Run 2,25/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,23143,7176,247
מרוץ משמר הנגב ה-5,20/05/2017,"10 ק""מ ריצה תחרותית",10K,10000,23038,7164,47
מרוץ משמר הנגב ה-5,20/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,23039,7164,68
מרוץ משמר הנגב ה-5,20/05/2017,"1.5 ק""מ ריצה תחרותית",,1500,23041,7164,78
מירוץ שוהם וחבל מודיעין,19/05/2017,2.5 קמ תחרותי,5K,5000,24956,7171,125
"מרוץ ברנר ה-2 ע""ש אורלי שחף",19/05/2017,"10 ק""מ ריצה תחרותית",10K,10000,23035,7162,155
מירוץ שוהם וחבל מודיעין,19/05/2017,5 קמ תחרותי,5K,5000,24957,7171,151
"מרוץ ברנר ה-2 ע""ש אורלי שחף",19/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,23036,7162,175
מירוץ שוהם וחבל מודיעין,19/05/2017,10 קמ תחרותי,10K,10000,24958,7171,113
מרוץ הלילה ה-8 בקרית גת,18/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,23034,7161,156
מרוץ הלילה ה-8 בקרית גת,18/05/2017,"10 ק""מ ריצה תחרותית",10K,10000,23033,7161,248
מרוץ חבל יבנה,14/05/2017,2k,2K,2000,23031,7160,89
מרוץ טירת הכרמל 2017,14/05/2017,"5 ק""מ",,5000,23027,7157,97
מרוץ חבל יבנה,14/05/2017,5k,5K,5000,23032,7160,55
מרוץ חופים 2017,12/05/2017,"5 ק""מ",5K,5000,22987,7147,344
אליפות אפרת גוש עציון,12/05/2017,5k,5K,5000,23009,7152,473
מרוץ חופים 2017,12/05/2017,"2 ק""מ עממי",2K,2000,22988,7147,5
אליפות אפרת גוש עציון,12/05/2017,21k,,21000,23010,7152,95
אליפות אפרת גוש עציון,12/05/2017,10k,10K,10000,23011,7152,144
מרוץ גבעת שמואל ה-8,12/05/2017,"10 ק""מ ריצה תחרותית",10K,10000,22991,7149,569
מרוץ דרור - בית אריה,12/05/2017,חצי מרתון,H.Marathon,21097,22993,7150,25
מרוץ גבעת שמואל ה-8,12/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,22992,7149,528
מרוץ דרור - בית אריה,12/05/2017,"10 ק""מ",10K,10000,22994,7150,77
אליפות ישראל בריצת-הרים,12/05/2017,10k,10K,10000,23013,7153,217
מרוץ חופים 2017,12/05/2017,"15 ק""מ",15K,15000,22985,7147,542
מרוץ דרור - בית אריה,12/05/2017,"5 ק""מ",5K,5000,22995,7150,140
אליפות ישראל בריצת-הרים,12/05/2017,5k,5K,5000,23014,7153,117
מרוץ חופים 2017,12/05/2017,"10 ק""מ",10K,10000,22986,7147,496
מרוץ הלילה של באר שבע,11/05/2017,5km,,5000,22951,7142,1415
מרוץ בית שמש 2017,11/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,22989,7148,670
מרוץ בית שמש 2017,11/05/2017,"2 ק""מ ריצה תחרותית",2K,2000,22990,7148,184
מרוץ הלילה של באר שבע,11/05/2017,10km,,10000,22950,7142,1458
מרוץ דליה 2017,06/05/2017,"1,200 מטר ריצה תחרותית",,1200,22934,7134,18
מרוץ דליה 2017,06/05/2017,"1,000 מטר ריצה תחרותית",,1000,22935,7134,48
מרוץ דליה 2017,06/05/2017,"10 ק""מ ריצה תחרותית",10K,10000,22932,7134,46
מרוץ דליה 2017,06/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,22933,7134,120
מרוץ שפיר 2017,05/05/2017,"10 ק""מ ריצה תחרותית",10K,10000,22888,7128,195
מרוץ התבור ה-65,05/05/2017,"10.5 ק""מ צבא",,10500,22893,7129,62
מרוץ שפיר 2017,05/05/2017,"5 ק""מ ריצה תחרותית",5K,5000,22889,7128,145
מרוץ התבור ה-65,05/05/2017,"10.5 ק""מ",,10500,22892,7129,252
מרוץ שפיר 2017,05/05/2017,"2 ק""מ ריצה תחרותית",2K,2000,22890,7128,92
מרוץ מהמדבר לים,05/05/2017,D2S,,50000,22921,7132,274
מרוץ שפיר 2017,05/05/2017,"10 ק""מ רכיבה תחרותית",10K,10000,22891,7128,21
מירוץ נחלים ה-4,02/05/2017,"10 ק""מ גברים",,10000,22883,7127,25
מירוץ נחלים ה-4,02/05/2017,"10 ק""מ נשים",,10000,22884,7127,7
מירוץ נחלים ה-4,02/05/2017,"2 ק""מ",,2000,22885,7127,56
מירוץ נחלים ה-4,02/05/2017,"5 ק""מ גברים",,5000,22886,7127,38
מירוץ נחלים ה-4,02/05/2017,"5 ק""מ נשים",,5000,22887,7127,3
מרוץ ג למען מלאכיות הדממה,29/04/2017,10 קילומטר ריצה,,10000,22784,7120,141
"מרוץ הרצליה 2017 ע""ש יוסי אבני",29/04/2017,"10 ק""מ ריצה תחרותית",10K,10000,22785,7505,1705
מרוץ ג למען מלאכיות הדממה,29/04/2017,5 קילומטר ריצה,,5000,22783,7120,183
"מרוץ הרצליה 2017 ע""ש יוסי אבני",29/04/2017,"5 ק""מ ריצה תחרותית",5K,5000,22786,7505,433
מרוץ ג למען מלאכיות הדממה,29/04/2017,3 קילומטר ריצה,,3000,22782,7120,115
"מרוץ הרצליה 2017 ע""ש יוסי אבני",29/04/2017,"2 ק""מ ריצה תחרותית",2K,2000,22787,7505,828
מרוץ ג למען מלאכיות הדממה,29/04/2017,2 קילומטר ריצה,,2000,22781,7120,137
מרוץ הרי הגעש,28/04/2017,15k,,15000,22758,7114,108
מרוץ הרי הגעש,28/04/2017,30k,,30000,22759,7114,217
מרוץ נווה עמיאל השני,28/04/2017,ריצה 10 קמ,,10000,22773,7116,149
מרוץ נווה עמיאל השני,28/04/2017,"ריצה 5 ק""מ",,5000,22774,7116,153
מרוץ ערב אשדוד,27/04/2017,"5 ק""מ",5K,5000,22757,7113,341
מרוץ אוניברסיטת חיפה 2017,26/04/2017,"5 ק""מ ריצה תחרותית",5K,5000,22756,7112,174
מרוץ קאנטרי צהלה ה-10,22/04/2017,2.5 קילומטר ריצה,,2500,22666,7094,272
מרוץ קאנטרי צהלה ה-10,22/04/2017,10 קילומטר ריצה,,10000,22664,7094,227
מרוץ קאנטרי צהלה ה-10,22/04/2017,5.4 קילומטר ריצה,,5400,22665,7094,193
מרוץ בנימין ה-8,21/04/2017,"10 ק""מ ריצה תחרותית",10K,10000,22631,7087,109
מרוץ בנימין ה-8,21/04/2017,"5 ק""מ ריצה תחרותית",5K,5000,24358,7087,140
מרוץ בנימין ה-8,21/04/2017,"10 ק""מ הליכה תחרותית",10K,10000,22633,7087,3
מרוץ מרום הגליל ה-5,14/04/2017,"10 ק""מ ריצה תחרותית",10K,10000,22623,7082,139
מרוץ מרום הגליל ה-5,14/04/2017,"5 ק""מ ריצה תחרותית",5K,5000,22624,7082,100
מרוץ בנימינה וגבעת עדה 2017,13/04/2017,"15 ק""מ ריצה תחרותית",15K,15000,22615,7078,93
מרוץ בנימינה וגבעת עדה 2017,13/04/2017,"10 ק""מ ריצה תחרותית",10K,10000,22616,7078,144
מרוץ בנימינה וגבעת עדה 2017,13/04/2017,"4 ק""מ ריצה תחרותית",,4000,22617,7078,198
מרוץ מגלן,07/04/2017,"2 ק""מ",,2000,24888,7067,93
"מרוץ לכיש 2017 ע""ש אמיר מימוני",07/04/2017,"5 ק""מ ריצה תחרותית",5K,5000,22599,7068,138
מרוץ  שדמות דבורה לזכר נדב ריימונד,07/04/2017,"10 ק""מ",10K,10000,22603,7070,100
מרוץ מזכרת בתיה 2017,07/04/2017,2k,2K,2000,22602,7069,59
מרוץ מגלן,07/04/2017,"10 ק""מ",,10000,24886,7067,307
מרוץ מזכרת בתיה 2017,07/04/2017,5k,5K,5000,22600,7069,89
מרוץ מגלן,07/04/2017,"5 ק""מ",,5000,24887,7067,162
"מרוץ לכיש 2017 ע""ש אמיר מימוני",07/04/2017,"10 ק""מ ריצה תחרותית",10K,10000,22598,7068,110
מרוץ מזכרת בתיה 2017,07/04/2017,10k,10K,10000,22601,7069,227
מרוץ הנשים של תל-אביב 2017,05/04/2017,"נשים 12 ק""מ",,12000,22558,7062,1691
מרוץ הנשים של תל-אביב 2017,05/04/2017,"נשים 8 ק""מ",,8000,22559,7062,2477
מרוץ הנשים של תל-אביב 2017,05/04/2017,"נשים 4 ק""מ",,4000,22560,7062,2392
מרוץ הטכניון 2017,05/04/2017,"5 ק""מ ריצה תחרותית",5K,5000,22557,7061,960
"מרוץ האביב רמה""ש 2017",01/04/2017,חצי מרתון,H.Marathon,21097,22445,7038,312
"מרוץ האביב רמה""ש 2017",01/04/2017,"10 ק""מ",10K,10000,22447,7038,477
"מרוץ האביב רמה""ש 2017",01/04/2017,"5 ק""מ",5K,5000,22448,7038,144
מרוץ אלקנה,31/03/2017,10k Women,10K,10000,22434,7035,5
"שבילי עמק המעיינות II, 2107",31/03/2017,"10 ק""מ",10K,10000,22466,7042,35
לרוץ ברוח טובה 2017,31/03/2017,"ריצה 10 ק""מ",10K,10000,22430,7033,335
מרוץ לוד 2017,31/03/2017,2k,2K,2000,22427,7032,122
מרוץ אלקנה,31/03/2017,10k Men,10K,10000,22435,7035,39
מרוץ אלוני יצחק 2017,31/03/2017,"10 ק""מ",,10000,22432,7034,86
לרוץ ברוח טובה 2017,31/03/2017,"ריצה 3.5 ק""מ",,3500,22431,7033,468
מרוץ לוד 2017,31/03/2017,5k,5K,5000,22428,7032,578
מרוץ אלקנה,31/03/2017,5k Women,5K,5000,22436,7035,20
מרוץ אלוני יצחק 2017,31/03/2017,"5.5 ק""מ",,5500,24932,7034,105
מרוץ לוד 2017,31/03/2017,מגב,5K,5000,22449,7032,344
מרוץ אלקנה,31/03/2017,5k Men,5K,5000,22437,7035,101
"מרוץ אליצור השומרון ע""ש גלעד זר 2017",31/03/2017,"10 ק""מ ריצה תחרותית",10K,10000,22438,7036,101
מרוץ לוד 2017,31/03/2017,10k,10K,10000,22429,7032,327
"מרוץ אליצור השומרון ע""ש גלעד זר 2017",31/03/2017,"5 ק""מ ריצה תחרותית",5K,5000,22439,7036,100
בשבילי עמק המעיינות I,30/03/2017,משולב 20+10,10K,10000,22443,7037,5
בשבילי עמק המעיינות I,30/03/2017,"5 ק""מ לזכר אבנר",5K,5000,22444,7037,31
בשבילי עמק המעיינות I,30/03/2017,"5 ק""מ",5K,5000,22467,7037,15
בשבילי עמק המעיינות I,30/03/2017,משולב 10+10,10K,10000,22440,7037,9
בשבילי עמק המעיינות I,30/03/2017,"10 ק""מ לזכר אבנר",10K,10000,22442,7037,21
מרוץ אבן יהודה ה-9,25/03/2017,"10 ק""מ ריצה תחרותית",10K,10000,22020,6988,76
מרוץ עומר 2017,25/03/2017,"10 ק""מ",10K,10000,22015,6986,107
מרוץ אבן יהודה ה-9,25/03/2017,"5 ק""מ ריצה תחרותית",5K,5000,22021,6988,278
מרוץ עומר 2017,25/03/2017,"5 ק""מ",5K,5000,22016,6986,118
מרוץ אבן יהודה ה-9,25/03/2017,"2 ק""מ ריצה תחרותית",2K,2000,22022,6988,739
מרוץ עומר 2017,25/03/2017,"2 ק""מ",2K,2000,22017,6986,200
מרוץ עיינות,25/03/2017,"10 ק""מ",10K,10000,22018,6987,156
מרוץ עיינות,25/03/2017,"4 ק""מ",,4000,22019,6987,249
מרוץ אור יהודה 2017,24/03/2017,"10 ק""מ ריצה תחרותית",10K,10000,22000,6980,303
סבב אליפות אירופה מים פתוחים,24/03/2017,Women 5km,5K,5000,22006,6983,18
