Event,Date,Heat,Type,Meters,raceid,eventid,Finishers
מרוץ לחיים ה-2 לזכרו של חיים טורג'מן,09/10/2015,"5 ק""מ ריצה תחרותית",5K,5000,16482,5730,72
מרוץ לחיים ה-2 לזכרו של חיים טורג'מן,09/10/2015,"2 ק""מ ריצה תחרותית",2K,2000,16483,5730,34
מרוץ בנימין ה-7,09/10/2015,"10 ק""מ ריצה תחרותית",10K,10000,16478,5729,87
מרוץ בנימין ה-7,09/10/2015,"5 ק""מ ריצה תחרותית",5K,5000,16479,5729,126
מרוץ בנימין ה-7,09/10/2015,"10 ק""מ הליכה תחרותית",10K,10000,16480,5729,1
מרוץ לחיים ה-2 לזכרו של חיים טורג'מן,09/10/2015,"10 ק""מ ריצה תחרותית",10K,10000,16481,5730,70
מרוץ הלילה הפתוח ה-6,08/10/2015,10K,10K,10000,16477,5728,496
"מרוץ השי""א ה-4",02/10/2015,"10 ק""מ תחרותי",10K,10000,16476,5727,32
מרוץ הסימטה 2015,02/10/2015,"5 ק""מ",5K,5000,16460,5718,106
מרוץ נחל שורק ה-6,02/10/2015,"10 ק""מ ריצה תחרותית",10K,10000,16461,5719,184
מרוץ נחל שורק ה-6,02/10/2015,"5 ק""מ ריצה תחרותית",5K,5000,16462,5719,234
מרוץ נחל שורק ה-6,02/10/2015,"2 ק""מ ריצה תחרותית",2K,2000,16463,5719,142
מרוץ נהריה 2015,02/10/2015,"10 ק""מ",10K,10000,16446,5716,232
מרוץ נהריה 2015,02/10/2015,"5 ק""מ",5K,5000,16447,5716,155
"מרוץ השי""א ה-4",02/10/2015,"5 ק""מ תחרותי",5K,5000,16475,5727,35
מרוץ המעפיל ה II,28/09/2015,"10 ק""מ",10K,10000,16443,5715,8
מרוץ המעפיל ה II,28/09/2015,"5 ק""מ",5K,5000,16444,5715,34
מרוץ המעפיל ה II,28/09/2015,"2 ק""מ",2K,2000,16445,5715,104
מרוץ כפר ורדים 2015,26/09/2015,"2 ק""מ ריצה תחרותית",2K,2000,16440,5712,25
מרוץ חוף חפר,26/09/2015,2300 מטר,,2300,16437,5711,225
PORT2PORT 2015,25/09/2015,1.8 קילומטר,,1800,16430,5706,339
"מרוץ פתיחת ליגת הפועל רצים בעבודה, 25.9.2015",25/09/2015,"5 ק""מ ריצה תחרותית",5K,5000,16416,5703,450
טריאתלון בחוף פלמחים,18/09/2015,5K,5K,5000,16412,5701,1
מרוץ גלעד ה-11 ברעננה,05/09/2015,"5 ק""מ ריצה תחרותית",5K,5000,16377,5687,348
מרוץ התנועה לאיכות השלטון,03/09/2015,"5 ק""מ ריצה תחרותית",5K,5000,16376,5686,136
מרוץ התנועה לאיכות השלטון,03/09/2015,"10 ק""מ ריצה תחרותית",10K,10000,16375,5686,116
חצי מרתון פארק הירקון ה-9,28/08/2015,"21.1 ק""מ ריצה תחרותית",H.Marathon,21097,16366,5681,514
חצי מרתון פארק הירקון ה-9,28/08/2015,"10 ק""מ ריצה תחרותית",10K,10000,16367,5681,98
ערד מצדה לזריחה,07/08/2015,"18 ק""מ",,18000,16348,5670,590
ערד מצדה לזריחה,07/08/2015,"11 ק""מ",,11000,16349,5670,278
הר | הר איתן,06/08/2015,8 קילומטר ריצה,,8000,16346,5669,317
הר | הר איתן,06/08/2015,16 קילומטר ריצה,,16000,16347,5669,221
מרוץ הקיץ - מישהו לרוץ איתו,31/07/2015,"5.5 ק""מ",5K,5000,16344,5668,17
מרוץ הקיץ - מישהו לרוץ איתו,31/07/2015,"10.1 ק""מ",,10100,16343,5668,39
מרוץ חרמש-דותן,29/07/2015,"5 ק""מ ריצה",5K,5000,16341,5666,57
מרוץ חרמש-דותן,29/07/2015,"10 ק""מ ריצה",10K,10000,16340,5666,85
מרוץ מעלה אדומים 2015,08/07/2015,"5 ק""מ ריצה תחרותית",5K,5000,16252,5639,275
מרוץ עדולם 2015 ,02/07/2015,"10 ק""מ ריצה",10K,10000,16174,5632,105
מרוץ עדולם 2015 ,02/07/2015,"5 ק""מ ריצה",5K,5000,16175,5632,150
TLV9RUN ,25/06/2015,"ריצה 9 ק""מ",,9000,15954,5614,251
TLV9RUN ,25/06/2015,"ריצה 5 ק""מ",5K,5000,15955,5614,98
ביכורי ים,19/06/2015,1.8 קילומטר,,1800,15906,5607,149
ביכורי ים,19/06/2015,10 קילומטר,,10000,15903,5607,21
ביכורי ים,19/06/2015,5 קילומטר,,5000,15904,5607,53
מרוץ הלילה של ירושלים,18/06/2015,10KM,10K,10000,15537,5566,1992
מרוץ הלילה של ירושלים,18/06/2015,5KM,5K,5000,15538,5566,1061
מרוץ מעיין ה-5 ביישוב עלי,18/06/2015,"10 ק""מ ריצה תחרותית",10K,10000,15532,5564,27
מרוץ מעיין ה-5 ביישוב עלי,18/06/2015,"5 ק""מ ריצה תחרותית",5K,5000,15533,5564,108
נחל מרתוניה,18/06/2015,חצי מרתון,H.Marathon,21097,15534,5565,392
נחל מרתוניה,18/06/2015,10 קילומטר,10K,10000,15535,5565,558
נחל מרתוניה,18/06/2015,5 קילומטר,5K,5000,15536,5565,277
מרוץ הלילה של פרו ראנר,11/06/2015,"10 ק""מ ריצה תחרותית",10K,10000,15487,5533,256
מרוץ הלילה של פרו ראנר,11/06/2015,"5 ק""מ ריצה תחרותית",5K,5000,15488,5533,217
מרוץ הלילה במיתר 2015,11/06/2015,"10 ק""מ ריצה",10K,10000,15489,5534,70
מרוץ הלילה במיתר 2015,11/06/2015,"5 ק""מ ריצה",5K,5000,15490,5534,155
מרוץ כרמיאל 2015,06/06/2015,"10 ק""מ ריצה",10K,10000,15471,5523,106
מרוץ כרמיאל 2015,06/06/2015,"5 ק""מ ריצה",5K,5000,15472,5523,117
מרוץ אבנר ארד,06/06/2015,"8 ק""מ",,8000,15474,5524,129
מרוץ אבנר ארד,06/06/2015,"2 ק""מ",2K,2000,15475,5524,39
"מרוץ סיום עונת 2014-15, ליגת רצים בעבודה",05/06/2015,"5 ק""מ ריצה תחרותית",5K,5000,15453,5520,291
Go Yarkon,05/06/2015,8 קילומטר,,8000,15455,5521,114
Go Yarkon,05/06/2015,16 קילומטר,,16000,15456,5521,72
מרוץ הלילה ה-6 בקרית גת,04/06/2015,"5 ק""מ ריצה תחרותית",5K,5000,15451,5518,199
מרוץ הלילה של רחובות 2015,04/06/2015,"5 ק""מ",5K,5000,15452,5519,220
מרוץ הלילה ה-6 בקרית גת,04/06/2015,"10 ק""מ ריצה תחרותית",10K,10000,15450,5518,184
"מרוץ רשפון ה-2 ע""ש ארז גבאי - 30.5.15",30/05/2015,"10 ק""מ ריצה תחרותית",10K,10000,15405,5508,237
"מרוץ רשפון ה-2 ע""ש ארז גבאי - 30.5.15",30/05/2015,"5 ק""מ ריצה תחרותית",5K,5000,15406,5508,217
"מרוץ רשפון ה-2 ע""ש ארז גבאי - 30.5.15",30/05/2015,"2 ק""מ ריצה תחרותית",2K,2000,15407,5508,197
ריצה הררית בהר איתן,22/05/2015,16K גברים,,16000,15402,5507,24
חצי מרתון שטח חוף כרמל 2015,22/05/2015,חצי מרתון שטח,H.Marathon,21097,15380,5500,109
סובב יואב ה-3,22/05/2015,5K,5K,5000,15902,5530,1
חצי מרתון שטח חוף כרמל 2015,22/05/2015,"10 ק""מ",10K,10000,15382,5500,66
רצים מהלב 2015,22/05/2015,"5 ק""מ ריצה",5K,5000,15376,5498,388
סובב יואב ה-3,22/05/2015,15K,15K,15000,15482,5530,1
חצי מרתון שטח חוף כרמל 2015,22/05/2015,"5 ק""מ",5K,5000,15383,5500,16
ריצה הררית בהר איתן,22/05/2015,16K נשים,,16000,15401,5507,11
רצים מהלב 2015,22/05/2015,"1.5 ק""מ ריצה",5K,5000,15377,5498,269
מרוץ אלוני אבא ה-6,16/05/2015,"10 ק""מ ריצה תחרותית",10K,10000,15335,5490,46
מרוץ אלוני אבא ה-6,16/05/2015,"5 ק""מ ריצה תחרותית",5K,5000,15336,5490,59
מרוץ חופים נתניה,15/05/2015,14 קילומטר,,14000,15316,5486,525
מרוץ חופים נתניה,15/05/2015,10 קילומטר,10K,10000,15317,5486,516
מרוץ גבעת שמואל ה-6,15/05/2015,"10 ק""מ ריצה תחרותית",10K,10000,15307,5484,523
מרוץ דרום השרון 2015,15/05/2015,"5 ק""מ",5K,5000,15339,5487,100
מרוץ חופים נתניה,15/05/2015,5 קילומטר,,5000,15318,5486,318
מרוץ גזר 2015,15/05/2015,5קמ,,5000,15368,5492,79
מרוץ דרום השרון 2015,15/05/2015,"10 ק""מ",,10000,15319,5487,103
מרוץ גזר 2015,15/05/2015,10קמ,,10000,15369,5492,105
מרוץ גבעת שמואל ה-6,15/05/2015,"5 ק""מ ריצה תחרותית",5K,5000,15308,5484,378
מרוץ שבילי עמק המעיינות ה-2,14/05/2015,"10 ק""מ יחידים",10K,10000,15314,5485,64
מרוץ הנשים ברמת גן,12/05/2015,"5 ק""מ ריצה תחרותית",5K,5000,15164,5457,159
מרוץ הנשים ברמת גן,12/05/2015,"2 ק""מ ריצה תחרותית",2K,2000,15165,5457,65
מרוץ המרכז האקדמי רופין 2015,12/05/2015,"5 ק""מ תחרותי",5K,5000,15166,5458,107
מרוץ קאנטרי גימל,09/05/2015,10 קילומטר,,10000,15087,5438,209
מרוץ קאנטרי גימל,09/05/2015,5 קילומטר,,5000,15088,5438,179
מרוץ שוהם חבל מודיעין,08/05/2015,"10 ק""מ תחרותי",10K,10000,15081,5436,160
מרוץ שוהם חבל מודיעין,08/05/2015,"5 ק""מ תחרותי",5K,5000,15082,5436,219
מרוץ שוהם חבל מודיעין,08/05/2015,"2.5 ק""מ תחרותי עד גיל 14",5K,5000,15083,5436,197
מרוץ טלמונים ה-8,08/05/2015,"10 ק""מ ריצה תחרותית",10K,10000,15084,5437,107
מרוץ טלמונים ה-8,08/05/2015,"5 ק""מ ריצה תחרותית",5K,5000,15085,5437,232
מרוץ מזכרת בתיה  2015,08/05/2015,"10 ק""מ ריצה",10K,10000,15079,5435,93
מרוץ טלמונים ה-8,08/05/2015,"2 ק""מ ריצה תחרותית",2K,2000,15086,5437,122
מרוץ מזכרת בתיה  2015,08/05/2015,"5 ק""מ ריצה",5K,5000,15080,5435,85
מרוץ טירת הכרמל 2015,07/05/2015,"5 ק""מ",,5000,15306,5483,14
"מרוץ חבל יבנה וצעדת ח""י",07/05/2015,"10 ק""מ תחרותי",10K,10000,15072,5433,49
"מרוץ חבל יבנה וצעדת ח""י",07/05/2015,"5 ק""מ תחרותי",5K,5000,15073,5433,76
מרוץ באר שבע 2015,05/05/2015,"10 ק""מ",,10000,15070,5432,842
מרוץ באר שבע 2015,05/05/2015,"5 ק""מ",,5000,15071,5432,979
"מרוץ הרצליה ה-10 ע""ש יוסי אבני",02/05/2015,"10 ק""מ ריצה תחרותית",10K,10000,15048,5425,1102
"מרוץ הרצליה ה-10 ע""ש יוסי אבני",02/05/2015,"4 ק""מ ריצה תחרותית",,4000,15049,5425,196
"מרוץ הרצליה ה-10 ע""ש יוסי אבני",02/05/2015,"2 ק""מ ריצה תחרותית",2K,2000,15050,5425,561
"הקפת התבור ה-63 	",01/05/2015,5.5 קילומטר,,5500,15021,5421,139
מרוץ אשקלון 2015,01/05/2015,"10 ק""מ ריצה תחרותית",10K,10000,15016,5420,204
מרוץ אשקלון 2015,01/05/2015,"2 ק""מ ריצה תחרותית",2K,2000,15017,5420,168
מרוץ אשקלון 2015,01/05/2015,"10 ק""מ הליכה תחרותית",10K,10000,15018,5420,4
"הקפת התבור ה-63 	",01/05/2015,11 קילומטר,,11000,15019,5421,216
"הקפת התבור ה-63 	",01/05/2015,11 קילומטר צה”ל,,11000,15020,5421,164
מרוץ דליה 2015,25/04/2015,1000 מ' ריצה תחרותית,,1000,14971,5409,33
מרוץ דליה 2015,25/04/2015,"10 ק""מ ריצה תחרותית",10K,10000,14968,5409,83
מרוץ דליה 2015,25/04/2015,"5 ק""מ ריצה תחרותית",5K,5000,14969,5409,101
מרוץ דליה 2015,25/04/2015,1200 מ' ריצה תחרותית,,1200,14970,5409,42
"מרוץ שפיר ה-5 ע""ש תמר אריאל",24/04/2015,"5 ק""מ ריצה תחרותית",5K,5000,14950,5403,175
"מרוץ שפיר ה-5 ע""ש תמר אריאל",24/04/2015,"2 ק""מ ריצה תחרותית",2K,2000,14951,5403,109
מרתון האיצטדיון,24/04/2015,מרתון,Marathon,42195,14952,5404,25
"מרוץ שפיר ה-5 ע""ש תמר אריאל",24/04/2015,"10 ק""מ ריצה תחרותית",10K,10000,14949,5403,179
מרוץ נחלים ה-3,23/04/2015,"10 ק""מ תחרותי",10K,10000,14946,5402,61
מרוץ נחלים ה-3,23/04/2015,"5 ק""מ תחרותי",5K,5000,14947,5402,55
מרוץ צהלה,18/04/2015,10 קילומטר,10K,10000,14891,5393,284
מרוץ צהלה,18/04/2015,5 קילומטר,5K,5000,14892,5393,241
"מרוץ ראש העין ה-5 ע""ש שי דנור (דדון)",17/04/2015,"5 ק""מ ריצה תחרותית",5K,5000,14867,5387,230
מרוץ הארץ המובטחת מ-י-ם אל ים,17/04/2015,אולטרה 100,,100000,14880,5389,2
מרוץ הארץ המובטחת מ-י-ם אל ים,17/04/2015,אולטרה 54,,54000,14874,5389,90
אולטרה קצרין בשביל הגולן 2015,17/04/2015,"15 ק""מ ריצה",15K,15000,14887,5391,87
"מרוץ ראש העין ה-5 ע""ש שי דנור (דדון)",17/04/2015,"2 ק""מ ריצה תחרותית",2K,2000,14868,5387,166
TLV Urban Power Run,17/04/2015,5 קילומטר,5K,5000,14881,5390,125
"אליפות ישראל לוותיקים ב-5,000 מטר",17/04/2015,"מקצה 1, 5 ק""מ",5K,5000,14869,5388,39
"אליפות ישראל לוותיקים ב-5,000 מטר",17/04/2015,"מקצה 2, 5 ק""מ",5K,5000,14870,5388,43
"אליפות ישראל לוותיקים ב-5,000 מטר",17/04/2015,"מקצה 3, 5 ק""מ",5K,5000,14871,5388,44
"מרוץ ראש העין ה-5 ע""ש שי דנור (דדון)",17/04/2015,"10 ק""מ ריצה תחרותית",10K,10000,14866,5387,184
"מרתון התנ""ך",09/04/2015,מרתון,Marathon,42195,14788,5372,89
"מרתון התנ""ך",09/04/2015,חצי מרתון,H.Marathon,21097,14789,5372,49
"מרתון התנ""ך",09/04/2015,"15 ק""מA",15K,15000,14790,5372,179
"מרתון התנ""ך",09/04/2015,"5 ק""מ",5K,5000,14791,5372,172
"מרתון התנ""ך",09/04/2015,"15ק""מB",15K,15000,14792,5372,31
מרוץ בנימינה וגבעת עדה וצעדת בנימינה 2015,08/04/2015,"15 ק""מ ריצה תחרותית",15K,15000,14784,5371,73
מרוץ בנימינה וגבעת עדה וצעדת בנימינה 2015,08/04/2015,"10 ק""מ ריצה תחרותית",10K,10000,14785,5371,156
מרוץ בנימינה וגבעת עדה וצעדת בנימינה 2015,08/04/2015,"4 ק""מ ריצה תחרותית",,4000,14786,5371,116
מרוץ בנימינה וגבעת עדה וצעדת בנימינה 2015,08/04/2015,"1 ק""מ ריצה תחרותית",,1000,14787,5371,99
מרוץ מרום הגליל ה-3,07/04/2015,"10 ק""מ ריצה תחרותית",10K,10000,14782,5370,132
מרוץ מרום הגליל ה-3,07/04/2015,"5 ק""מ ריצה תחרותית",5K,5000,14783,5370,44
מרוץ אופקים 2015,06/04/2015,"10 ק""מ ריצה תחרותית",10K,10000,14734,5363,62
מרוץ הטכניון ה-1,01/04/2015,"5 ק""מ ריצה תחרותית",5K,5000,14730,5361,538
מרוץ עיינות ה-4,28/03/2015,"4 ק""מ",,4000,14698,5351,272
מרוץ משמר הנגב ה-3,28/03/2015,"10 ק""מ תחרותי",10K,10000,14699,5352,33
מרוץ האביב 2015,28/03/2015,חצי מרתון,H.Marathon,21097,14693,5350,309
מרוץ משמר הנגב ה-3,28/03/2015,"5 ק""מ תחרותי",5K,5000,14700,5352,53
מרוץ האביב 2015,28/03/2015,"10 ק""מ",10K,10000,14694,5350,531
מרוץ משמר הנגב ה-3,28/03/2015,"2.5 ק""מ תחרותי",5K,5000,14701,5352,55
מרוץ האביב 2015,28/03/2015,"5 ק""מ",5K,5000,14695,5350,207
מרוץ משמר הנגב ה-3,28/03/2015,"1.5 ק""מ תחרותי",,1500,14702,5352,85
מרוץ עיינות ה-4,28/03/2015,"10 ק""מ",10K,10000,14697,5351,215
מרוץ אור יהודה 2015,27/03/2015,"5 ק""מ ריצה תחרותית",,5000,14692,5349,129
אליפות גוש עציון ה-13,27/03/2015,"ריצה 10 ק""מ",10K,10000,14710,5354,170
אליפות גוש עציון ה-13,27/03/2015,"ריצה 5 ק""מ",5K,5000,14711,5354,398
אליפות גוש עציון ה-13,27/03/2015,"עממי 2 ק""מ",2K,2000,14712,5354,28
אליפות גוש עציון ה-13,27/03/2015,"21 ק""מ חצי מרתון",H.Marathon,21097,14708,5354,66
מרוץ אור יהודה 2015,27/03/2015,"10 ק""מ ריצה תחרותית",,10000,14691,5349,463
משחקי החורף של א.ס.א,23/03/2015,"ריצה 5 ק""מ",5K,5000,14732,5346,59
רצים לדרום הפורח,21/03/2015,14 Men,,14000,14651,5345,57
רצים לדרום הפורח,21/03/2015,14 Women,,14000,14652,5345,37
רצים לדרום הפורח,21/03/2015,5 Men,5K,5000,14653,5345,25
מרוץ הגליל העליון,21/03/2015,"15 ק""מ",15K,15000,14632,5339,218
"מרוץ AIS ביה""ס האמריקאי 2015",21/03/2015,4k Runner,,4000,14645,5341,184
רצים לדרום הפורח,21/03/2015,5 Women,5K,5000,14654,5345,33
מרוץ הגליל העליון,21/03/2015,"5 ק""מ",5K,5000,14633,5339,117
מרוץ סביון 2015,20/03/2015,"2 ק""מ תחרותי עד גיל 14",2K,2000,14629,5338,74
מרוץ עדנים 2015,20/03/2015,"5 ק""מ תחרותי",5K,5000,14622,5336,98
מרוץ סביון 2015,20/03/2015,"2 ק""מ ריצה עממי",2K,2000,14630,5338,185
מרוץ דימונה ה-2,20/03/2015,"10 ק""מ ריצה תחרותית",10K,10000,14624,5334,58
מרוץ דימונה ה-2,20/03/2015,"5 ק""מ ריצה תחרותית",5K,5000,14617,5334,45
"מרוץ השומרון ה-4 ע""ש גלעד זר",20/03/2015,"10 ק""מ ריצה תחרותית",10K,10000,14625,5337,90
מרוץ לוד ה-2,20/03/2015,"10 ק""מ",10K,10000,14618,5335,200
"מרוץ השומרון ה-4 ע""ש גלעד זר",20/03/2015,"5 ק""מ ריצה תחרותית",5K,5000,14626,5337,102
מרוץ לוד ה-2,20/03/2015,"5 ק""מ",5K,5000,14619,5335,240
מרוץ סביון 2015,20/03/2015,"מקצה 10 ק""מ תחרותי",10K,10000,14627,5338,488
מרוץ לוד ה-2,20/03/2015,"2 ק""מ תחרותי עד גיל 14",2K,2000,14620,5335,325
לרוץ ברוח טובה,20/03/2015,"ריצה 9 ק""מ",,9000,14647,5342,194
מרוץ סביון 2015,20/03/2015,"מקצה 5 ק""מ",5K,5000,14628,5338,291
מרוץ עדנים 2015,20/03/2015,"10 ק""מ תחרותי",10K,10000,14621,5336,51
מרוץ רעננה 2015,20/03/2015,"ריצה 10 ק""מ",10K,10000,14615,5333,1006
לרוץ ברוח טובה,20/03/2015,"ריצה 3.5ק""מ",,3500,14648,5342,208
מרוץ אלתרמנס הילדים 2015,18/03/2015,"2 ק""מ ריצה תחרותית",2K,2000,14590,5329,101
מרוץ אלתרמנס הילדים 2015,18/03/2015,"1 ק""מ ריצה תחרותית",,1000,14591,5329,103
רצים לבחירות 2015,16/03/2015,10 קילומטר,10K,10000,14586,5328,52
רצים לבחירות 2015,16/03/2015,5 קילומטר,5K,5000,14587,5328,52
רצים לבחירות 2015,16/03/2015,2 קילומטר,2K,2000,14588,5328,10
מרוץ כפר-סבא 2015,14/03/2015,"ריצה 10 ק""מ",10K,10000,14576,5322,824
מרוץ אבן יהודה ה-7,14/03/2015,"10 ק""מ ריצה תחרותית",10K,10000,14580,5324,98
מרוץ אבן יהודה ה-7,14/03/2015,"5 ק""מ ריצה תחרותית",5K,5000,14581,5324,217
מרוץ אבן יהודה ה-7,14/03/2015,"2 ק""מ ריצה תחרותית",2K,2000,14582,5324,653
Jerusalem Marathon 2015,13/03/2015,10K,10K,10000,14575,5321,5786
Jerusalem Marathon 2015,13/03/2015,Half Marathon,H.Marathon,21097,14572,5321,3280
Jerusalem Marathon 2015,13/03/2015,5K,5K,5000,14573,5321,515
Jerusalem Marathon 2015,13/03/2015,Marathon,Marathon,42195,14574,5321,1119
מרוץ אפרת השני,06/03/2015,חצי מרתון,H.Marathon,21097,14535,5314,1
מרוץ אפרת השני,06/03/2015,"10 ק""מ",10K,10000,14536,5314,1
מרוץ אפרת השני,06/03/2015,"5 ק""מ",5K,5000,14537,5314,1
מרתון סמסונג תל-אביב 2015,27/02/2015,חצי מרתון,H.Marathon,21097,14451,5296,6419
מרוץ הכלניות ה-2,27/02/2015,"2 ק""מ ריצה תחרותית",2K,2000,14458,5297,45
מרתון סמסונג תל-אביב 2015,27/02/2015,"10 ק""מ",10K,10000,14452,5296,9667
מרוץ הכלניות ה-2,27/02/2015,"10 ק""מ ריצה תחרותית",10K,10000,14455,5297,116
מרוץ הכלניות ה-2,27/02/2015,"5 ק""מ ריצה תחרותית",5K,5000,14456,5297,125
מרתון סמסונג תל-אביב 2015,27/02/2015,מרתון,Marathon,42195,14450,5296,1825
מרוץ חצרים 2015,13/02/2015,"10 ק""מ ריצה תחרותית",10K,10000,14418,5288,174
מרוץ חצרים 2015,13/02/2015,"5 ק""מ ריצה תחרותית",5K,5000,14419,5288,103
מרוץ חצרים 2015,13/02/2015,"2 ק""מ ריצה תחרותית",2K,2000,14423,5288,55
מרוץ חצרים 2015,13/02/2015,חצי מרתון תחרותי,H.Marathon,21097,14417,5288,76
מרוץ עומר ה-34,07/02/2015,"5 ק""מ",5K,5000,14393,5285,192
מרוץ עומר ה-34,07/02/2015,"2 ק""מ עד גיל 18",2K,2000,14394,5285,229
מרוץ נס ציונה,07/02/2015,"10 ק""מ ריצה",10K,10000,14388,5284,434
מרוץ נס ציונה,07/02/2015,"5 ק""מ ריצה",5K,5000,14389,5284,246
מרוץ נס ציונה,07/02/2015,"2.5 ק""מ תחרותי עד גיל 16",5K,5000,14390,5284,300
מרוץ עומר ה-34,07/02/2015,"21.1 ק""מ",H.Marathon,21097,14391,5285,79
מרוץ עומר ה-34,07/02/2015,"10 ק""מ",10K,10000,14392,5285,73
מרוץ עיר האבות ה-7,06/02/2015,"2 ק""מ ריצה תחרותית",2K,2000,14386,5282,51
מרתוניה פארק הירקון,06/02/2015,5 קילומטר,5K,5000,14380,5281,136
"מרוץ ירוחם ה-2 ""בין מכתש לאגם""",06/02/2015,"10 ק""מ ריצה תחרותית",10K,10000,14387,5283,181
מרתוניה פארק הירקון,06/02/2015,10 קילומטר,10K,10000,14381,5281,347
מרתוניה פארק הירקון,06/02/2015,חצי מרתון,H.Marathon,21097,14382,5281,181
מרתוניה פארק הירקון,06/02/2015,31 קילומטר,,31000,14383,5281,246
מרוץ עיר האבות ה-7,06/02/2015,"10 ק""מ ריצה תחרותית",10K,10000,14384,5282,35
מרוץ עיר האבות ה-7,06/02/2015,"5 ק""מ ריצה תחרותית",5K,5000,14385,5282,64
מרוץ הגולף קיסריה,05/02/2015,12 קמ,,12000,14396,5286,164
מרוץ אמצע החורף,30/01/2015,"ריצה 10 ק""מ",10K,10000,14349,5276,553
מרוץ אמצע החורף,30/01/2015,"ריצה 5 ק""מ",5K,5000,14350,5276,174
מרוץ אמצע החורף,30/01/2015,ריצה חצי מרתון,H.Marathon,21097,14351,5276,287
מרוץ הערבה 2015,23/01/2015,10קמ,10K,10000,14496,5302,131
מרוץ הערבה 2015,23/01/2015,חצי מרתון,H.Marathon,21097,14495,5302,81
מרתון winner טבריה 2015,09/01/2015,Marathon,Marathon,42195,14173,5247,1850
מרתון winner טבריה 2015,09/01/2015,10km,10K,10000,14174,5247,881
